Crash ID,State,Month,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20212133,Victoria,9,Sunday,0:30,Single,,,,,Motorcycle rider,Male,38,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges (S),Arterial Road,No,No,26_to_39,Weekend,Night
20214022,South Australia,9,Saturday,23:31,Multiple,No,No,No,110,Pedestrian,Female,28,Major Cities of Australia,Adelaide - North,Playford (C),,No,No,26_to_39,Weekend,Night
20212096,Victoria,9,Saturday,23:00,Single,,,,,Passenger,Male,19,Inner Regional Australia,Hume,Wangaratta (RC),Access road,No,No,17_to_25,Weekend,Night
20212145,Victoria,9,Saturday,22:25,Single,,,,,Driver,Male,23,Outer Regional Australia,Hume,Wangaratta (RC),Arterial Road,No,No,17_to_25,Weekend,Night
20212075,Victoria,9,Saturday,5:15,Single,,,,,Motorcycle rider,Male,46,Major Cities of Australia,Melbourne - South East,Casey (C),Local Road,No,No,40_to_64,Weekend,Night
20213034,Queensland,9,Saturday,4:00,Multiple,No,No,No,100,Motorcycle rider,Male,19,Major Cities of Australia,Brisbane - South,Brisbane (C),Busway,No,No,17_to_25,Weekend,Night
20215071,Western Australia,9,Saturday,19:10,Single,No,No,No,100,Driver,Female,20,,,,,No,No,17_to_25,Weekend,Night
20212015,Victoria,9,Thursday,19:33,Multiple,,,,,Other/-9,Male,17,Major Cities of Australia,Melbourne - West,Wyndham (C),Sub-arterial Road,No,No,17_to_25,Weekday,Night
20213026,Queensland,9,Wednesday,23:00,Multiple,No,No,No,,Passenger,Female,2,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,0_to_16,Weekday,Night
20213092,Queensland,9,Saturday,2:00,Single,No,No,No,60,Driver,Male,47,Major Cities of Australia,Logan - Beaudesert,Logan (C),Local Road,No,No,40_to_64,Weekend,Night
20214053,South Australia,9,Thursday,21:00,Single,No,No,No,80,Driver,Male,24,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills (DC),Sub-arterial Road,No,No,17_to_25,Weekday,Night
20213178,Queensland,9,Sunday,21:00,Multiple,No,No,No,50,Motorcycle rider,Male,52,Major Cities of Australia,Gold Coast,Gold Coast (C),Local Road,No,No,40_to_64,Weekend,Night
20215047,Western Australia,9,Friday,22:44,Single,No,No,No,80,Motorcycle rider,Male,49,,,,,No,No,40_to_64,Weekend,Night
