state,crash_count,year
Australian Capital Territory,32,1989
New South Wales,959,1989
Northern Territory,61,1989
Queensland,428,1989
South Australia,222,1989
Tasmania,80,1989
Victoria,776,1989
Western Australia,242,1989
Australian Capital Territory,26,1990
New South Wales,797,1990
Northern Territory,68,1990
Queensland,399,1990
South Australia,226,1990
Tasmania,71,1990
Victoria,548,1990
Western Australia,196,1990
Australian Capital Territory,17,1991
New South Wales,663,1991
Northern Territory,67,1991
Queensland,395,1991
South Australia,184,1991
Tasmania,77,1991
Victoria,503,1991
Western Australia,207,1991
Australian Capital Territory,20,1992
New South Wales,649,1992
Northern Territory,54,1992
Queensland,416,1992
South Australia,165,1992
Tasmania,74,1992
Victoria,396,1992
Western Australia,200,1992
Australian Capital Territory,12,1993
New South Wales,581,1993
Northern Territory,44,1993
Queensland,396,1993
South Australia,218,1993
Tasmania,58,1993
Victoria,435,1993
Western Australia,209,1993
Australian Capital Territory,17,1994
New South Wales,646,1994
Northern Territory,41,1994
Queensland,418,1994
South Australia,159,1994
Tasmania,59,1994
Victoria,377,1994
Western Australia,211,1994
Australian Capital Territory,15,1995
New South Wales,620,1995
Northern Territory,61,1995
Queensland,456,1995
South Australia,181,1995
Tasmania,57,1995
Victoria,418,1995
Western Australia,209,1995
Australian Capital Territory,23,1996
New South Wales,581,1996
Northern Territory,72,1996
Queensland,385,1996
South Australia,181,1996
Tasmania,64,1996
Victoria,417,1996
Western Australia,247,1996
Australian Capital Territory,17,1997
New South Wales,576,1997
Northern Territory,60,1997
Queensland,360,1997
South Australia,148,1997
Tasmania,32,1997
Victoria,377,1997
Western Australia,197,1997
Australian Capital Territory,22,1998
New South Wales,556,1998
Northern Territory,69,1998
Queensland,279,1998
South Australia,168,1998
Tasmania,48,1998
Victoria,390,1998
Western Australia,223,1998
Australian Capital Territory,19,1999
New South Wales,577,1999
Northern Territory,49,1999
Queensland,314,1999
South Australia,151,1999
Tasmania,53,1999
Victoria,383,1999
Western Australia,218,1999
Australian Capital Territory,18,2000
New South Wales,603,2000
Northern Territory,51,2000
Queensland,317,2000
South Australia,166,2000
Tasmania,43,2000
Victoria,407,2000
Western Australia,212,2000
Australian Capital Territory,16,2001
New South Wales,524,2001
Northern Territory,50,2001
Queensland,324,2001
South Australia,153,2001
Tasmania,61,2001
Victoria,444,2001
Western Australia,165,2001
Australian Capital Territory,10,2002
New South Wales,561,2002
Northern Territory,55,2002
Queensland,322,2002
South Australia,154,2002
Tasmania,37,2002
Victoria,397,2002
Western Australia,179,2002
Australian Capital Territory,11,2003
New South Wales,539,2003
Northern Territory,53,2003
Queensland,310,2003
South Australia,157,2003
Tasmania,41,2003
Victoria,330,2003
Western Australia,180,2003
Australian Capital Territory,9,2004
New South Wales,510,2004
Northern Territory,35,2004
Queensland,311,2004
South Australia,139,2004
Tasmania,58,2004
Victoria,343,2004
Western Australia,178,2004
Australian Capital Territory,26,2005
New South Wales,508,2005
Northern Territory,55,2005
Queensland,330,2005
South Australia,148,2005
Tasmania,51,2005
Victoria,346,2005
Western Australia,163,2005
Australian Capital Territory,13,2006
New South Wales,496,2006
Northern Territory,45,2006
Queensland,335,2006
South Australia,117,2006
Tasmania,55,2006
Victoria,337,2006
Western Australia,200,2006
Australian Capital Territory,14,2007
New South Wales,435,2007
Northern Territory,58,2007
Queensland,360,2007
South Australia,124,2007
Tasmania,45,2007
Victoria,332,2007
Western Australia,235,2007
Australian Capital Territory,14,2008
New South Wales,374,2008
Northern Territory,75,2008
Queensland,328,2008
South Australia,99,2008
Tasmania,39,2008
Victoria,303,2008
Western Australia,205,2008
Australian Capital Territory,12,2009
New South Wales,454,2009
Northern Territory,31,2009
Queensland,331,2009
South Australia,119,2009
Tasmania,63,2009
Victoria,290,2009
Western Australia,191,2009
Australian Capital Territory,19,2010
New South Wales,405,2010
Northern Territory,50,2010
Queensland,249,2010
South Australia,118,2010
Tasmania,31,2010
Victoria,288,2010
